#;Country;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;Active Cases;Serious Critical;Tot Cases/ 1M pop;Deaths/ 1M pop;Total Tests;"Tests/ 
1M pop";Population
47;Oman;15086;770;72;5;3451;11563;60;296;14;102644;20139;5096732
48;Bahrain;13835;539;22;1;8585;5228;12;8154;13;354122;208705;1696755
49;Kazakhstan;12312;245;52;;6903;5357;62;656;3;892101;4755;18761243
50;Bolivia;12245;607;415;15;1658;10172;3;105;36;28239;2421;11661915
51;Denmark;11875;64;586;4;10653;636;17;2051;101;684557;118213;5790888
52;Nigeria;11844;328;333;10;3696;7815;7;58;2;73064;355;205752194
53;Armenia;11817;596;183;7;3513;8121;10;3988;62;65161;21992;2962891
54;S._Korea;11668;39;273;;10506;889;15;228;5;99096;1933;51266403
55;Serbia;11667;96;247;1;6931;4489;12;1335;28;266061;30443;8739503
56;Algeria;9935;104;690;9;6453;2792;22;227;16;;;43793933
57;Iraq;9846;1006;285;14;4573;4988;63;245;7;281901;702;40155229
58;Czechia;9529;35;327;1;6881;2321;12;890;31;464499;4338;10707718
59;Moldova;9247;229;323;8;524;3684;274;2292;80;58521;14505;4034539
60;Ghana;9168;283;42;4;3457;5669;3;296;1;226741;7308;31025162
61;Norway;8522;18;238;;8138;146;5;1573;44;257303;47487;5418415
62;Malaysia;8266;19;116;1;661;154;6;256;4;560738;1734;32337260
63;Morocco;8071;68;208;;7268;595;15;219;6;275349;7466;36880463
64;Cameroon;7392;603;205;2;4575;2612;28;279;8;;;26495721
65;Australia;7251;11;102;;6683;466;2;285;4;1579192;61979;25479570
66;Finland;6941;30;322;;58;819;8;1253;58;198647;35856;5540174
67;Azerbaijan;6860;338;82;4;3871;2907;66;677;8;328385;32407;10133027
68;Guatemala;6154;394;158;15;979;5017;5;344;9;31427;1757;17891586
69;Honduras;5880;190;243;9;648;4989;13;594;25;1479;1495;9893429
70;Sudan;5865;151;347;14;1924;3594;;134;8;401;9;43772449
71;Tajikistan;4370;81;48;;2491;1831;;459;5;;;9521678
72;Senegal;4155;134;45;;2276;1834;15;249;3;4918;2943;16710084
73;Djibouti;4123;69;26;;1707;239;;4177;26;34551;35006;986991
74;Guinea;4060;69;23;;2667;137;24;310;2;14407;1099;13105319
75;Luxembourg;4032;5;110;;3885;37;3;6449;176;83673;133823;625253
76;Uzbekistan;4007;68;16;;3247;744;10;120;1;748555;22388;33435151
77;Hungary;3970;16;542;3;2245;1183;21;411;56;202606;2097;9661855
78;DRC;3764;120;81;3;512;3171;;42;1;;;89346331
79;Ivory_Coast;3431;169;36;1;1604;1791;;130;1;29856;1134;26328754
80;Thailand;3102;1;58;;2971;73;1;44;1;420529;6026;69788785
81;Gabon;3101;146;21;;833;2247;13;1396;9;1673;753;2221787
82;Greece;2967;15;180;;1374;1413;9;285;17;193929;186;10426116
83;Nepal;2912;278;11;1;333;2568;;100;0;221332;7606;29099031
84;El_Salvador;2849;68;53;2;1249;1547;58;439;8;101604;1567;6484071
85;North_Macedonia;2790;179;149;2;1632;1009;34;1339;72;33114;15894;2083379
86;Haiti;2740;100;50;;24;2666;;240;4;5717;502;11392941
87;Bulgaria;2627;34;159;;139;1078;8;378;23;8789;12643;6951522
88;Bosnia_and_Herzegovina;2606;12;159;;1968;479;4;794;48;69654;21223;3282033
89;Kenya;2474;134;79;1;643;1752;7;46;1;90875;1693;53683298
90;Croatia;2247;;103;;2113;31;3;547;25;68267;16623;4106773
91;Somalia;2204;;79;;418;1707;2;139;5;;;15858827
92;Venezuela;2145;58;20;;334;1791;;75;1;1009524;35496;28440869
93;Cuba;2133;14;83;;1848;202;3;188;7;114464;10105;11327047
94;Mayotte;2079;21;25;;1523;531;12;7634;92;815;29928;272318
95;Kyrgyzstan;1936;37;22;2;134;574;5;297;3;124434;19095;6516522
96;Estonia;1910;20;69;;1667;174;;144;52;88;66341;1326479
97;Maldives;1883;11;7;;717;1159;9;3488;13;2844;5268;53986
98;Iceland;1806;;10;;1794;2;;5295;29;6223;182441;341097
99;Ethiopia;1805;169;19;1;262;1524;18;16;0;131368;1145;114747693
100;Sri_Lanka;1801;4;11;;858;932;1;84;1;7218;3372;21407433
101;Lithuania;1694;7;71;;1302;321;17;622;26;326294;119767;2724404
102;Slovakia;1526;;28;;1379;119;;280;5;185596;33995;5459476
103;New_Zealand;1504;;22;;1481;1;;301;4;288987;57773;5002100
104;Mali;1485;24;87;2;816;582;;73;4;3483;172;20205290
105;Slovenia;1479;2;109;;1359;11;;711;52;83529;40179;2078920
106;CAR;1451;163;4;;29;1418;;301;1;15881;3292;4823741
107;Guinea-Bissau;1368;29;12;4;153;1203;;696;6;15;764;1964504
108;Lebanon;1312;6;28;;768;516;6;192;4;92175;13501;6827290
109;Equatorial_Guinea;1306;;12;;200;1094;;933;9;8268;5909;1399279
110;Costa_Rica;1228;34;10;;695;523;4;241;2;28753;5648;5090985
111;Albania;1212;15;33;;910;269;5;421;11;1581;5493;2877992
112;Nicaragua;1118;;46;;370;702;;169;7;;;6619130
113;Hong_Kong;1103;4;4;;1045;54;2;147;1;20293;27083;7492917
114;Zambia;1089;;7;;912;170;1;59;0;28236;1539;18343987
115;Tunisia;1087;;49;;969;69;1;92;4;5415;4585;11810203
116;Paraguay;1087;1;11;;516;560;2;153;2;35258;4947;7126491
117;Latvia;1085;3;25;;781;279;3;575;13;115461;61175;1887388
118;South_Sudan;994;;10;;6;978;;89;1;3356;300;11184706
119;Madagascar;975;18;7;;201;767;9;35;0;12907;467;27636675
120;Niger;966;3;65;;863;38;;40;3;6119;254;24134500
121;Cyprus;960;2;17;;807;136;4;796;14;125312;10384;1206776
122;Sierra_Leone;929;15;47;;580;302;;117;6;;;7965082
123;Burkina_Faso;888;3;53;;760;75;;43;3;;;20858966
124;Mauritania;883;99;43;4;69;771;;190;9;7654;1649;4640289
125;Andorra;852;;51;;741;60;7;11028;660;375;48539;77257
126;Chad;836;8;68;2;657;111;;51;4;;;16389091
127;Uruguay;834;2;23;;721;90;4;240;7;47433;13658;3472955
128;Georgia;805;4;13;;650;142;6;202;3;61395;15389;3989639
129;Jordan;784;19;9;;571;204;5;77;1;213815;2097;10196269
130;Diamond_Princess;712;;13;;651;48;4;;;;;
131;San_Marino;680;2;42;;428;210;1;20044;1238;4749;139981;33926
132;Congo;635;24;20;;182;433;;115;4;;;5507802
133;Malta;625;3;9;;583;33;;1416;20;72992;165339;441468
134;Jamaica;591;;10;;368;213;1;200;3;13813;4666;2960329
135;French_Guiana;589;33;1;;321;267;3;1976;3;;;29809
136;Channel_Islands;561;;46;;512;3;;3229;265;10255;5902;173755
137;Uganda;557;35;;;82;475;;12;;99092;2172;45625932
138;Cabo_Verde;536;34;5;;239;292;;965;9;1307;2353;555575
139;Tanzania;509;;21;;183;305;7;9;0;;;59601678
140;Sao_Tome_and_Principe;499;14;12;;68;419;;228;55;175;800;218864
141;Togo;485;20;13;;240;232;;59;2;21812;2639;8264157
142;Réunion;480;1;1;;411;68;1;536;1;172;1922;894888
143;Yemen;469;16;111;8;23;335;;16;4;120;4;29777161
144;Palestine;464;;3;;377;84;;91;1;44876;8812;5092524
145;Taiwan;443;;7;;429;7;;19;0;7304;3067;23814036
146;Rwanda;420;10;2;;282;136;;32;0;7251;5609;12927873
147;Malawi;409;16;4;;55;350;3;21;0;6172;323;19092180
148;Mozambique;354;2;2;;119;233;;11;0;12343;396;31187452
149;Mauritius;337;2;10;;324;3;;265;8;129768;102048;1271634
150;Isle_of_Man;336;;24;;312;0;;3953;282;5123;60268;85004
151;Liberia;334;13;30;2;176;128;;66;6;;;5048752
152;Vietnam;328;;;;307;21;1;3;;275;2827;97279651
153;Montenegro;324;;9;;315;0;;516;14;13186;20995;628061
154;Eswatini;305;5;3;;221;81;5;263;3;6551;5651;1159347
155;Zimbabwe;265;28;4;;33;228;;18;0;5092;3429;14847728
156;Benin;261;;3;;151;107;;22;0;409;338;12098873
157;Libya;239;30;5;;52;182;;35;1;884;1288;6864777
158;Myanmar;236;;6;;151;79;;4;0;33587;618;54385696
159;Martinique;202;2;14;;98;90;;538;37;;;375283
160;Mongolia;191;5;;;70;121;15;58;;15807;4827;3274538
161;Faeroe_Islands;187;;;;187;0;;3828;;10134;207447;48851
162;Gibraltar;174;1;;;153;21;;5164;;8733;259201;33692
163;Guadeloupe;164;2;14;;144;6;1;410;35;4975;12434;40012
164;Cayman_Islands;164;4;1;;93;70;;2497;15;13947;212383;65669
165;Guyana;153;;12;;77;64;3;195;15;1719;2186;786305
166;Bermuda;141;;9;;114;18;2;2264;144;7891;126678;62292
167;Brunei;141;;2;;138;1;1;323;5;20619;47162;437196
168;Comoros;132;;2;;55;75;;152;2;;;868232
169;Cambodia;125;;;;123;2;1;7;;22456;1344;16702803
170;Syria;124;;6;;53;65;;7;0;;;17468540
171;Trinidad_and_Tobago;117;;8;;108;1;;84;6;3325;2376;1399197
172;Bahamas;102;;11;;55;36;2;260;28;2156;5486;39299
173;Aruba;101;;3;;98;0;;946;28;2168;20312;106737
174;Monaco;99;;4;;93;2;1;2524;102;162;413012;39224
175;Barbados;92;;7;;81;4;1;320;24;5812;20226;287353
176;Suriname;90;8;1;;9;80;;154;2;782;1334;586278
177;Angola;86;;4;;21;61;1;3;0;10;305;32785106
178;Liechtenstein;82;;1;;55;26;;2151;26;900;23609;38121
179;Sint_Maarten;77;;15;;61;1;1;1797;350;470;1097;42843
180;Burundi;63;;1;;33;29;;5;0;284;24;11862936
181;French_Polynesia;60;;;;60;0;;214;;404;14387;280801
182;Bhutan;48;1;;;11;37;;62;;18238;23654;771027
183;Macao;45;;;;45;0;;69;;;;648718
184;Saint_Martin;41;;3;;33;5;1;1062;78;614;15899;38619
185;Botswana;40;;1;;23;16;;17;0;24006;10223;2348147
186;Eritrea;39;;;;39;0;;11;;;;3542992
187;Antigua_and_Barbuda;26;;3;;20;3;1;266;31;246;2513;97875
188;Gambia;26;;1;;21;4;;11;0;1907;791;2411394
189;St._Vincent_Grenadines;26;;;;15;11;;234;;600;5409;110917
190;Namibia;25;;;;16;9;;10;;4395;1732;2537585
191;Timor-Leste;24;;;;24;0;;18;;1568;1191;1316620
192;Grenada;23;;;;22;1;2;204;;3516;31256;112489
193;Curaçao;21;;1;;15;5;;128;6;985;6004;16405
194;New_Caledonia;20;;;;18;2;;70;;7055;24727;285312
195;Belize;19;1;2;;16;1;;48;5;1741;4384;397107
196;Laos;19;;;;18;1;;3;;7824;1076;7268147
197;Saint_Lucia;19;;;;18;1;;104;;1204;6559;183572
198;Dominica;18;;;;16;2;;250;;534;7419;71975
199;Fiji;18;;;;18;0;;20;;2431;2713;896014
200;Saint_Kitts_and_Nevis;15;;;;15;0;;282;;403;7579;53174
201;Falkland_Islands;13;;;;13;0;;3744;;535;15409;3472
202;Greenland;13;;;;13;0;;229;;2288;40307;56764
203;Turks_and_Caicos;12;;1;;11;0;;310;26;153;3955;38681
204;Vatican_City;12;;;;2;10;;14981;;;;801
205;Montserrat;11;;1;;10;0;;2204;200;61;1222;4992
206;Seychelles;11;;;;11;0;;112;;;;98307
207;MS_Zaandam;9;;2;;;7;;;;;;
208;Western_Sahara;9;;1;;6;2;;15;2;;;596227
209;British_Virgin_Islands;8;;1;;7;0;;265;33;167;5527;30218
210;Papua_New_Guinea;8;;;;8;0;;9;;4646;520;8934719
211;Caribbean_Netherlands;7;;;;7;0;;267;;424;16179;26207
212;St._Barth;6;;;;6;0;;608;;137;13873;9875
213;Lesotho;4;;;;2;2;;2;;1515;708;2141116
214;Anguilla;3;;;;3;0;;200;;41;2734;14994
215;Saint_Pierre_Miquelon;1;;;;1;0;;173;;;;5796
