#;Country;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;Active Cases;Serious Critical;Tot Cases/ 1M pop;Deaths/ 1M pop;Total Tests;"Tests/ 
1M pop";Population
1;USA;2007449;18905;112469;373;761708;1133272;16923;6067;340;21291677;64348;330885824
2;Brazil;691962;18375;36499;542;302084;353379;8318;3257;172;999836;4706;212467494
3;Russia;467673;8984;58590;134;226731;235083;23;3205;40;12721549;87175;145930871
4;Spain;288630;240;27136;1;N/A;N/A;617;6173;580;4063843;8692;46753739
5;UK;286194;1326;40542;77;N/A;N/A;604;4217;597;5581073;82238;67864660
6;India;257486;10864;7207;261;123848;126431;8944;187;5;4666386;3383;1379159619
7;Italy;234998;197;33899;53;165837;35262;287;3886;561;4236535;70064;60466843
8;Peru;196515;4757;5465;164;86219;104831;1062;5965;166;1191956;36183;32942259
9;Germany;185869;173;8776;7;1691;7993;568;2219;105;4348880;51916;83768186
10;Iran;171789;2364;8281;72;134349;29159;2596;2047;99;1084857;12927;83924324
11;Turkey;170132;914;4692;23;137969;27471;613;2019;56;2338593;27747;84282117
12;France;153977;343;29155;13;70842;5398;1053;2359;447;1384633;21216;65265090
13;Chile;134150;6405;219;649;95631;36329;1558;7021;115;708773;37097;19106092
14;Mexico;113619;3593;13511;341;81544;18564;378;882;105;332326;2579;128847928
15;Saudi_Arabia;101914;3045;712;36;72817;28385;1564;293;20;958237;27553;34778459
16;Pakistan;98943;496;2002;67;33465;63476;111;449;9;683608;3099;220603292
17;Canada;95699;642;78;27;54233;33666;1816;2537;207;1896822;50285;37721735
18;China;83036;6;4634;;78332;70;1;58;3;;;1439323776
19;Qatar;68790;1595;54;3;44338;24398;245;245;19;255533;91008;2807805
20;Bangladesh;65769;2743;888;42;13903;50978;1;400;5;397987;2418;164587111
21;Belgium;59226;154;9595;15;16291;3334;111;5112;828;93567;80754;11586627
22;Belarus;48630;879;269;6;23647;24714;92;5146;28;622313;65857;9449500
23;South_Africa;48285;2312;998;46;24364;22923;208;815;17;920064;15526;59261034
24;Netherlands;47574;239;6013;2;N/A;N/A;97;2777;351;388113;22653;17132661
25;Sweden;45065;344;4659;3;N/A;N/A;198;4464;461;2755;27289;10095462
26;Ecuador;43120;392;3621;13;2102;18479;222;2446;205;127414;7229;17625612
27;Colombia;39236;1209;1259;54;15322;22655;335;772;25;410719;8077;50848887
28;UAE;38808;540;276;1;21806;16726;1;3927;28;2500000;252964;9882820
29;Singapore;37910;383;25;;24886;12999;3;6483;4;408495;69858;5847525
30;Portugal;34693;342;1479;5;20995;12219;58;3402;145;873998;857;10198365
31;Egypt;34079;1467;1237;39;8961;23881;41;333;12;135;1321;102204915
32;Kuwait;31848;717;264;10;20205;11379;196;7465;62;315285;73898;4266472
33;Indonesia;31186;672;1851;50;10498;18837;;114;7;405992;1485;273342397
34;Switzerland;30965;9;1921;;287;344;28;3579;222;423468;48952;8650765
35;Ukraine;26999;485;788;11;12054;14157;304;617;18;424046;9693;43747990
36;Poland;26561;575;1157;4;12855;12549;160;702;31;1056396;27911;37848958
37;Ireland;25201;18;1679;1;22698;824;36;5107;340;348416;70611;4934313
38;Argentina;22794;774;664;16;6909;15221;274;505;15;193923;4293;45170095
39;Philippines;21895;555;1003;9;453;16362;82;200;9;429332;3921;109487582
40;Romania;20479;189;1333;11;14638;4508;144;1064;69;5032;26148;19244598
41;Afghanistan;20342;791;357;30;1875;1811;19;523;9;47327;1218;38867774
42;Dominican_Republic;19600;405;538;2;12007;7055;110;1808;50;94511;8718;10841126
43;Israel;17863;111;298;3;15091;2474;27;1942;32;649463;70612;9197590
44;Japan;17141;38;916;2;15139;1086;98;136;7;314483;2486;126497998
45;Austria;16902;4;672;;15793;437;17;1877;75;489597;5438;9003309
46;Oman;16882;866;75;3;3451;13356;75;3312;15;108679;2132;5097444
47;Panama;16425;421;393;7;10218;5814;84;3811;91;72697;16866;4310325
48;Bahrain;14763;380;26;2;9468;5269;13;8699;15;367056;216287;1697080
49;Bolivia;13358;630;454;27;1902;11002;3;1145;39;3653;3132;11662786
50;Armenia;13130;766;200;10;4014;8916;10;4431;68;69171;23346;2962921
51;Kazakhstan;12694;183;53;;7376;5265;62;677;3;965089;51437;18762470
52;Nigeria;12486;253;354;12;3959;8173;7;61;2;76802;373;205780197
53;Iraq;12366;1268;346;28;5186;6834;69;308;9;303053;7546;40160173
54;Denmark;11948;24;589;2;10755;604;15;2063;102;706442;12199;5790999
55;Serbia;11823;82;249;1;11348;226;15;1353;28;272502;31181;8739312
56;S._Korea;11776;57;273;;10552;951;15;230;5;1012769;19755;51266643
57;Algeria;10154;104;707;9;6717;273;24;232;16;;;43798266
58;Moldova;9700;189;341;10;5638;3721;335;2404;85;63328;15697;4034488
59;Ghana;9638;176;44;;3636;5958;3;311;1;233734;7533;31028714
60;Czechia;9628;61;327;;6891;241;12;899;31;471521;44035;10707826
;Oceania;8870;5;124;;8289;457;3;;;;;
61;Norway;8547;16;238;;8138;171;5;1577;44;257303;47485;5418646
62;Malaysia;8322;19;117;;6674;1531;5;257;4;560738;17339;32339526
63;Morocco;8224;73;208;;7364;652;15;223;6;305953;8295;36882853
64;Cameroon;7908;309;212;;4735;2961;28;298;8;;;26499342
65;Azerbaijan;7553;314;88;4;4149;3316;66;745;9;328385;32406;10133526
66;Australia;7260;5;102;;6703;455;3;285;4;1619490;63556;25481186
67;Finland;6981;17;323;1;58;858;6;126;58;201;3628;5540221
68;Guatemala;6792;307;230;14;1133;5429;5;380;13;31427;1756;17893400
69;Honduras;6155;184;250;2;697;5208;13;622;25;2154;2177;9894290
70;Sudan;6081;;359;;2014;3708;;139;8;401;9;43778058
71;Tajikistan;4529;76;48;;2673;1808;;476;5;;;9522852
72;Uzbekistan;4331;237;17;;3354;960;13;130;1;748555;22386;33437803
73;Senegal;4328;79;49;2;2588;1691;15;259;3;4918;2943;16712504
74;Djibouti;4207;38;28;2;1877;2302;;4262;28;35165;35626;98707
75;Guinea;4117;;23;;2877;1217;24;314;2;14407;1099;13107272
76;Luxembourg;4039;4;110;;3899;30;1;6459;176;88051;140812;625309
77;DRC;4016;138;85;3;537;3394;;45;1;;;89361277
78;Hungary;4008;18;546;1;2279;1183;21;415;57;210202;21756;9661722
79;Ivory_Coast;3739;182;36;;1818;1885;;142;1;31549;1198;26332334
80;Nepal;3448;213;13;;467;2968;;118;0;241254;829;29101899
81;Thailand;3112;8;58;;2972;82;1;45;1;420529;6026;69789739
82;Gabon;3101;;21;;833;2247;13;1396;9;1673;7529;2222074
83;Haiti;3072;;50;;24;2998;;270;4;6626;582;11393700
84;North_Macedonia;3025;110;153;2;1646;1226;34;1452;73;36325;17436;2083379
85;El_Salvador;3015;81;53;;1305;1657;79;465;8;106548;16432;6484249
86;Greece;2997;17;180;;1374;1443;9;287;17;193929;18601;10425839
87;Kenya;2767;167;84;1;752;1931;7;52;2;9734;1813;53689786
88;Bulgaria;2711;43;160;;1548;1003;12;390;23;90329;12995;6951238
89;Bosnia_and_Herzegovina;2673;37;159;1;1968;546;4;814;48;69654;21224;3281922
90;Venezuela;2377;61;22;;487;1868;;84;1;1343336;47233;28440431
91;Somalia;2334;45;83;1;441;181;2;147;5;;;15861260
92;Croatia;2247;;104;;2126;17;2;547;25;6874;16739;4106636
93;Cuba;2191;18;83;;1862;246;3;193;7;118488;10461;11327009
94;Mayotte;2079;;25;;1523;531;12;7633;92;815;29924;272354
95;Ethiopia;2020;86;27;7;344;1649;32;18;0;14296;1246;114763301
96;Kyrgyzstan;2007;33;22;;1425;560;5;308;3;127051;19495;6517111
97;Estonia;1939;8;69;;1681;189;;1462;52;90;67849;1326484
98;Maldives;1903;2;8;;827;1068;9;3525;15;2894;53601;539912
99;Sri_Lanka;1835;21;11;;941;883;1;86;1;75239;3515;21407923
100;Iceland;1807;1;10;;1794;3;;5297;29;62795;184091;341109
101;Lithuania;1714;9;71;;1328;315;17;629;26;333433;122397;2724198
102;CAR;1634;64;5;;38;1591;;339;1;15881;3292;4824200
103;Mali;1533;10;92;2;873;568;;76;5;3483;172;20208491
104;Slovakia;1528;;28;;1389;111;;280;5;189415;34695;5459490
105;New_Zealand;1504;;22;;1481;1;;301;4;294048;58785;5002100
106;Slovenia;1485;1;109;;1359;17;;714;52;84537;40664;2078922
107;Guinea-Bissau;1368;;12;;153;1203;;696;6;15;763;1964759
108;Lebanon;1331;11;30;1;768;533;6;195;4;95154;13938;6827123
109;Costa_Rica;1318;55;10;;704;604;4;259;2;29449;5784;5091239
110;South_Sudan;1317;323;14;4;6;1297;;118;1;3356;300;11185423
111;Equatorial_Guinea;1306;;12;;200;1094;;933;9;8268;5908;1399533
112;Albania;1246;14;34;;938;274;5;433;12;16255;5648;2877975
113;Paraguay;1135;45;11;;575;549;2;159;2;36373;5104;7126969
114;Nicaragua;1118;;46;;370;702;;169;7;;;6619561
115;Hong_Kong;1107;1;4;;1049;54;2;148;1;20293;27082;7493249
116;Zambia;1089;;7;;912;170;1;59;0;28236;1539;18346811
117;Latvia;1088;2;25;;781;282;4;576;13;11766;62344;1887275
118;Tunisia;1087;;49;;982;56;1;92;4;55358;4687;11810878
119;Madagascar;1052;26;9;1;233;810;9;38;0;13608;492;27640577
120;Mauritania;1049;102;55;6;108;886;7;226;12;7654;1649;4640959
121;Niger;973;3;65;;867;41;;40;3;6196;257;24139318
122;Sierra_Leone;969;23;48;;608;313;;122;6;;;7965970
123;Cyprus;964;4;18;;807;139;4;799;15;125312;103836;1206824
124;Burkina_Faso;889;1;53;;765;71;;43;3;;;20862110
125;Andorra;852;;51;;744;57;7;11028;660;375;48539;77258
126;Uruguay;845;;23;;730;92;4;243;7;48432;13945;3473020
127;Chad;837;1;69;;672;96;;51;4;;;16391677
128;Georgia;809;1;13;;674;122;6;203;3;61395;15389;3989597
129;Jordan;808;13;9;;607;192;5;79;1;222128;21784;10196822
130;Diamond_Princess;712;;13;;651;48;4;;;;;
131;French_Guiana;689;50;1;;383;305;2;2311;3;277;929;298133
132;Congo;683;;22;;210;451;;124;4;;;5508546
133;San_Marino;680;;42;;428;210;1;20043;1238;4749;139977;33927
134;Malta;629;2;9;;596;24;;1425;20;75374;170733;441474
135;Uganda;616;23;;;96;520;;13;;100402;22;45633864
136;Jamaica;596;1;10;;404;182;2;201;3;14223;4804;2960399
